OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,COST,ASSETS,PERCENTAGE
52.09,53.04,52.04,52.83,52203900,0.0,0,QQQ,2011-11-15,728.0,37125.079999999994,37921.520000000004,1.0214528830644947
52.45,52.86,51.86,51.96,68342800,0.0,0,QQQ,2011-11-16,728.0,37125.079999999994,38183.6,1.0285122617917593
51.82,51.84,50.42,50.74,101706900,0.0,0,QQQ,2011-11-17,728.0,37125.079999999994,37724.96,1.016158349019046
50.75,50.8,50.26,50.35,60417000,0.0,0,QQQ,2011-11-18,728.0,37125.079999999994,36946.0,0.995176306690787
49.67,49.74,48.88,49.39,52283700,0.0,0,QQQ,2011-11-21,748.0,38118.479999999996,37153.16,0.9746758002942407
49.26,49.7,48.96,49.55,51940100,0.0,0,QQQ,2011-11-22,748.0,38118.479999999996,36846.479999999996,0.9666303588180851
49.18,49.23,48.41,48.43,48437300,0.0,0,QQQ,2011-11-23,748.0,38118.479999999996,36786.64,0.9650605165788353
48.22,48.78,48.05,48.06,25448100,0.0,0,QQQ,2011-11-25,748.0,38118.479999999996,36068.56,0.9462224097078373
49.23,49.8,49.2,49.73,46710700,0.0,0,QQQ,2011-11-28,768.0,39103.079999999994,37808.64,0.9668967252707461
49.7,50.08,49.28,49.42,52056700,0.0,0,QQQ,2011-11-29,768.0,39103.079999999994,38169.600000000006,0.976127711678978
50.77,51.3,50.6,51.25,66918600,0.0,0,QQQ,2011-11-30,768.0,39103.079999999994,38991.36,0.9971429360551651
51.24,51.74,51.21,51.6,45362200,0.0,0,QQQ,2011-12-01,768.0,39103.079999999994,39352.32,1.006373922463397
52.11,52.11,51.41,51.46,36938900,0.0,0,QQQ,2011-12-02,768.0,39103.079999999994,40020.479999999996,1.0234610675169322
52.23,52.37,51.73,52.02,40492200,0.0,0,QQQ,2011-12-05,787.0,40095.45,41105.009999999995,1.0251789168097627
52.07,52.21,51.7,51.88,38670000,0.0,0,QQQ,2011-12-06,787.0,40095.45,40979.090000000004,1.022038410842128
